# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/NR5a2
#
# total peaks = 32235
# peak size = 134
# peaks found using tags on both strands
# minimum distance between peaks = 268
# fragment length = 122
# genome size = 2000000000
# Total tags = 12320924.0
# Total tags in peaks = 1164991.0
# Approximate IP efficiency = 9.46%
# tags per bp = 0.005291
# expected tags per peak = 0.709
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 8.447811e-07
# FDR tag threshold = 8.0
# number of putative peaks = 59162
#
# input tag directory = /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 23234
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 3687
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 6
#
# cmd = findPeaks /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/NR5a2 -i /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr9-8	chr9	35112971	35113105	+	1047.8	0.797	168.000000	1090.7	268.0	4.07	1.17e-309	34.69	0.00e+00	0.80
chr9-1	chr9	70741408	70741542	+	613.6	0.889	220.000000	638.7	5.0	127.74	0.00e+00	59.98	0.00e+00	0.60
chr14-1	chr14	64098253	64098387	+	581.1	0.861	243.000000	604.9	3.0	201.64	0.00e+00	88.01	0.00e+00	0.55
chr17-1	chr17	26349730	26349864	+	542.2	0.935	224.000000	564.4	7.0	80.62	0.00e+00	180.82	0.00e+00	0.59
chr18-1	chr18	70259658	70259792	+	541.4	0.933	228.000000	563.5	2.0	281.76	0.00e+00	207.21	0.00e+00	0.58
chr4-1	chr4	33348288	33348422	+	516.2	0.911	221.000000	537.3	9.0	59.70	0.00e+00	86.56	0.00e+00	0.60
chr4-2	chr4	133108726	133108860	+	505.6	0.859	220.000000	526.3	11.0	47.85	0.00e+00	44.93	0.00e+00	0.60
chr3-1	chr3	37657246	37657380	+	491.0	0.920	216.000000	511.1	7.0	73.02	0.00e+00	176.76	0.00e+00	0.61
chr2-1	chr2	65386832	65386966	+	488.6	0.928	212.000000	508.6	2.0	254.30	0.00e+00	140.26	0.00e+00	0.62
chr1-1	chr1	74061234	74061368	+	475.6	0.922	211.000000	495.1	9.0	55.01	0.00e+00	65.67	0.00e+00	0.62
chr16-2	chr16	55801029	55801163	+	474.0	0.930	207.000000	493.4	3.0	164.47	0.00e+00	207.72	0.00e+00	0.64
chr14-2	chr14	35164898	35165032	+	450.5	0.842	197.000000	468.9	3.0	156.30	0.00e+00	77.10	0.00e+00	0.66
chr12-1	chr12	78828211	78828345	+	441.5	0.967	200.000000	459.6	3.0	153.20	0.00e+00	168.29	0.00e+00	0.66
chr8-1	chr8	124087137	124087271	+	434.2	0.746	204.000000	452.0	9.0	50.22	0.00e+00	55.71	0.00e+00	0.64
chr19-1	chr19	43871726	43871860	+	431.0	0.938	214.000000	448.6	3.0	149.54	0.00e+00	186.17	0.00e+00	0.61
chr7-1	chr7	51543201	51543335	+	426.9	0.873	208.000000	444.4	6.0	74.07	0.00e+00	147.25	0.00e+00	0.63
chr6-1	chr6	40994455	40994589	+	411.5	0.948	206.000000	428.3	0.5	856.68	0.00e+00	144.13	0.00e+00	0.63
chr11-2	chr11	78369304	78369438	+	407.4	0.910	202.000000	424.1	8.0	53.01	0.00e+00	40.89	0.00e+00	0.64
chr16-1	chr16	96077003	96077137	+	397.7	0.827	213.000000	414.0	11.0	37.63	0.00e+00	76.92	0.00e+00	0.60
chr11-1	chr11	119806833	119806967	+	392.8	0.866	207.000000	408.9	1.0	408.91	0.00e+00	83.85	0.00e+00	0.62
chr12-2	chr12	88230450	88230584	+	390.4	0.906	200.000000	406.4	5.0	81.28	0.00e+00	47.92	0.00e+00	0.65
chr17-2	chr17	87662956	87663090	+	387.1	0.891	201.000000	403.0	6.0	67.17	0.00e+00	117.85	0.00e+00	0.64
chr6-2	chr6	7996609	7996743	+	385.5	0.910	205.000000	401.3	4.0	100.33	0.00e+00	126.71	0.00e+00	0.63
chr7-3	chr7	133780374	133780508	+	383.9	0.893	199.000000	399.6	10.0	39.96	0.00e+00	84.94	0.00e+00	0.65
chr7-2	chr7	148354063	148354197	+	379.0	0.880	201.000000	394.5	10.0	39.45	0.00e+00	67.95	0.00e+00	0.64
chr3-2	chr3	100167161	100167295	+	377.4	0.814	213.000000	392.9	1.0	392.86	0.00e+00	52.59	0.00e+00	0.60
chr9-2	chr9	65081144	65081278	+	375.0	0.950	189.000000	390.3	3.0	130.11	0.00e+00	104.34	0.00e+00	0.68
chr2-3	chr2	70490086	70490220	+	372.5	0.872	204.000000	387.8	4.0	96.95	0.00e+00	128.01	0.00e+00	0.62
chr2-2	chr2	91108991	91109125	+	354.7	0.908	208.000000	369.2	4.0	92.30	0.00e+00	91.41	0.00e+00	0.61
chr7-4	chr7	152394010	152394144	+	351.4	0.843	199.000000	365.8	4.0	91.46	0.00e+00	82.81	0.00e+00	0.63
chr7-5	chr7	134245060	134245194	+	350.6	0.882	192.000000	365.0	8.0	45.62	0.00e+00	49.16	0.00e+00	0.66
chr11-3	chr11	68079157	68079291	+	344.1	0.816	195.000000	358.2	3.0	119.41	0.00e+00	46.94	0.00e+00	0.64
chr5-1	chr5	75976173	75976307	+	337.6	0.820	192.000000	351.5	9.0	39.05	0.00e+00	75.25	0.00e+00	0.65
chr4-3	chr4	135286224	135286358	+	332.0	0.927	191.000000	345.5	5.0	69.11	0.00e+00	71.36	0.00e+00	0.65
chr10-2	chr10	59435354	59435488	+	332.0	0.910	181.000000	345.5	6.0	57.59	0.00e+00	39.16	0.00e+00	0.69
chr11-7	chr11	75625519	75625653	+	332.0	0.885	177.000000	345.5	3.0	115.18	0.00e+00	98.09	0.00e+00	0.71
chr3-3	chr3	96381160	96381294	+	327.1	0.895	181.000000	340.5	7.0	48.64	0.00e+00	48.72	0.00e+00	0.69
chr2-4	chr2	91868469	91868603	+	319.8	0.912	191.000000	332.9	5.0	66.57	0.00e+00	56.22	0.00e+00	0.65
chr6-3	chr6	117460615	117460749	+	319.0	0.914	185.000000	332.0	2.0	166.01	0.00e+00	40.53	0.00e+00	0.67
chr11-4	chr11	57817368	57817502	+	319.0	0.751	193.000000	332.0	4.0	83.01	0.00e+00	39.86	0.00e+00	0.64
chr19-2	chr19	57441806	57441940	+	319.0	0.915	182.000000	332.0	6.0	55.34	0.00e+00	88.49	0.00e+00	0.68
chr17-3	chr17	4868167	4868301	+	317.3	0.890	182.000000	330.3	7.0	47.19	0.00e+00	58.99	0.00e+00	0.68
chr8-4	chr8	127746952	127747086	+	314.9	0.768	171.000000	327.8	6.0	54.63	0.00e+00	45.49	0.00e+00	0.72
chr15-3	chr15	100524984	100525118	+	314.9	0.859	182.000000	327.8	10.0	32.78	0.00e+00	34.97	0.00e+00	0.68
chr9-4	chr9	74714567	74714701	+	314.1	0.886	177.000000	327.0	7.0	46.71	0.00e+00	76.60	0.00e+00	0.70
chr11-5	chr11	74740439	74740573	+	313.3	0.847	184.000000	326.1	3.0	108.70	0.00e+00	102.60	0.00e+00	0.67
chr15-5	chr15	78675740	78675874	+	311.7	0.915	170.000000	324.4	4.0	81.11	0.00e+00	30.21	0.00e+00	0.74
chr10-1	chr10	62523217	62523351	+	310.0	0.864	184.000000	322.7	4.0	80.68	0.00e+00	51.42	0.00e+00	0.68
chr15-1	chr15	74603732	74603866	+	307.6	0.899	192.000000	320.2	5.0	64.04	0.00e+00	135.46	0.00e+00	0.64
chr5-2	chr5	123220374	123220508	+	306.8	0.843	185.000000	319.4	1.0	319.36	0.00e+00	84.59	0.00e+00	0.68
chr10-3	chr10	95236494	95236628	+	306.8	0.740	177.000000	319.4	2.0	159.68	0.00e+00	53.73	0.00e+00	0.70
chr4-5	chr4	133119309	133119443	+	306.0	0.734	185.000000	318.5	7.0	45.50	0.00e+00	53.79	0.00e+00	0.67
chr15-2	chr15	25862762	25862896	+	302.7	0.886	185.000000	315.1	6.0	52.52	0.00e+00	71.15	0.00e+00	0.66
chr17-4	chr17	73228481	73228615	+	301.1	0.783	174.000000	313.4	7.0	44.78	0.00e+00	86.17	0.00e+00	0.70
chr9-13	chr9	48548333	48548467	+	300.3	0.929	150.000000	312.6	3.0	104.20	0.00e+00	58.33	0.00e+00	0.81
chr2-6	chr2	119880613	119880747	+	299.5	0.849	176.000000	311.8	2.0	155.88	0.00e+00	78.52	0.00e+00	0.69
chr6-5	chr6	129130464	129130598	+	299.5	0.899	176.000000	311.8	6.0	51.96	0.00e+00	129.37	0.00e+00	0.69
chr4-6	chr4	122974378	122974512	+	298.7	0.682	182.000000	310.9	6.0	51.82	0.00e+00	33.04	0.00e+00	0.67
chr11-6	chr11	109347018	109347152	+	297.9	0.884	183.000000	310.1	4.0	77.52	0.00e+00	32.83	0.00e+00	0.67
chr1-2	chr1	133735242	133735376	+	297.1	0.923	176.000000	309.2	1.0	309.22	0.00e+00	89.23	0.00e+00	0.69
chr2-5	chr2	143941623	143941757	+	296.2	0.751	183.000000	308.4	4.0	77.09	0.00e+00	61.50	0.00e+00	0.68
chr11-9	chr11	86775555	86775689	+	294.6	0.899	171.000000	306.7	3.0	102.23	0.00e+00	70.33	0.00e+00	0.71
chr2-8	chr2	170369251	170369385	+	293.0	0.953	169.000000	305.0	2.0	152.50	0.00e+00	158.21	0.00e+00	0.72
chr14-3	chr14	65252090	65252224	+	293.0	0.799	178.000000	305.0	4.0	76.25	0.00e+00	45.28	0.00e+00	0.68
chr17-5	chr17	56232368	56232502	+	292.2	0.896	170.000000	304.1	5.0	60.83	0.00e+00	122.15	0.00e+00	0.71
chr4-4	chr4	104857281	104857415	+	291.4	0.825	188.000000	303.3	7.0	43.33	0.00e+00	44.88	0.00e+00	0.65
chr4-8	chr4	115522031	115522165	+	289.8	0.925	175.000000	301.6	1.0	301.61	0.00e+00	46.77	0.00e+00	0.70
chr16-3	chr16	13206000	13206134	+	288.1	0.749	184.000000	299.9	7.0	42.85	0.00e+00	78.26	0.00e+00	0.66
chr2-13	chr2	48260097	48260231	+	286.5	0.969	159.000000	298.2	2.0	149.12	0.00e+00	149.37	0.00e+00	0.76
chr8-3	chr8	125180126	125180260	+	286.5	0.896	173.000000	298.2	9.0	33.14	0.00e+00	70.63	0.00e+00	0.70
chr9-3	chr9	53164736	53164870	+	286.5	0.857	177.000000	298.2	6.0	49.71	0.00e+00	105.22	0.00e+00	0.68
chr5-3	chr5	20796570	20796704	+	284.1	0.873	184.000000	295.7	5.0	59.14	0.00e+00	65.74	0.00e+00	0.66
chr18-2	chr18	62146219	62146353	+	283.3	0.826	175.000000	294.9	3.0	98.28	0.00e+00	43.04	0.00e+00	0.68
chr4-7	chr4	11074962	11075096	+	282.4	0.743	176.000000	294.0	2.0	147.00	0.00e+00	59.59	0.00e+00	0.69
chr11-8	chr11	78365932	78366066	+	282.4	0.820	176.000000	294.0	5.0	58.80	0.00e+00	23.66	0.00e+00	0.68
chr15-4	chr15	31188143	31188277	+	280.8	0.710	181.000000	292.3	9.0	32.48	1.08e-320	27.84	0.00e+00	0.66
chr14-4	chr14	70608112	70608246	+	280.0	0.872	173.000000	291.5	7.0	41.64	0.00e+00	30.13	0.00e+00	0.69
